,Match_ID,Season,Team_1,Team_2,Toss_Winner,Toss_Decision,Venue,City,Result,Winner,Win_Margin,Win_Type,Player_Of_Match
0,40546,2011-12,Brisbane Heat,Sydney Sixers,Brisbane Heat,Batting,Sydney Cricket Ground,Sydney,True,Sydney Sixers,7,wickets,BJ Haddin
1,40547,2011-12,Melbourne Stars,Sydney Thunder,Sydney Thunder,Bowling,Melbourne Cricket Ground,Melbourne,True,Sydney Thunder,6,wickets,DA Warner
2,40548,2011-12,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Bowling,Adelaide Oval,Adelaide,True,Adelaide Strikers,67,runs,M Klinger
3,40549,2011-12,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,Batting,"Western Australia Cricket Association Ground, Perth",Perth,True,Hobart Hurricanes,31,runs,BW Hilfenhaus
4,40550,2011-12,Melbourne Stars,Brisbane Heat,Melbourne Stars,Batting,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Melbourne Stars,8,runs,RJ Quiney
5,40551,2011-12,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Batting,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,42,runs,TR Birt
6,40552,2011-12,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,Batting,"Docklands Stadium, Melbourne",Melbourne,True,Perth Scorchers,8,wickets,SE Marsh
7,40553,2011-12,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,Batting,"Stadium Australia, Sydney",Sydney,True,Sydney Thunder,6,wickets,CH Gayle
8,40554,2011-12,Sydney Sixers,Melbourne Stars,Sydney Sixers,Batting,Sydney Cricket Ground,Sydney,True,Sydney Sixers,2,runs,DJ Bravo
9,40555,2011-12,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,Batting,Adelaide Oval,Adelaide,True,Hobart Hurricanes,14,runs,XJ Doherty
10,40556,2011-12,Perth Scorchers,Brisbane Heat,Perth Scorchers,Batting,"Western Australia Cricket Association Ground, Perth",Perth,True,Perth Scorchers,10,runs,MJ North
11,40557,2011-12,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,Batting,"Stadium Australia, Sydney",Sydney,True,Melbourne Renegades,6,runs,Shahid Afridi
12,40558,2011-12,Sydney Thunder,Hobart Hurricanes,Sydney Thunder,Batting,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,5,wickets,Naved-ul-Hasan
13,40559,2011-12,Sydney Sixers,Melbourne Renegades,Sydney Sixers,Batting,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Renegades,8,wickets,AB McDonald
14,40560,2011-12,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,Batting,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Adelaide Strikers,31,runs,TLW Cooper
15,40561,2011-12,Perth Scorchers,Melbourne Stars,Perth Scorchers,Batting,Melbourne Cricket Ground,Melbourne,True,Perth Scorchers,8,runs,HH Gibbs
16,40562,2011-12,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,Batting,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Brisbane Heat,3,runs,ML Hayden
